Claim,Source,Date,Climate Feedback,Climinator
"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.","Joe Rogan & Jimmy Corsetti, TikTok & Spotify",14-Jun-23,incorrect,incorrect
"We have been cooling down for the past 4000 years; the Earth has cooled since the ‘medieval warming’, It’s all about when you start the measurements.","Ian Plimer, Media Research Center",15-May-23,inaccurate,mostly accurate
Antarctic sea-ice extent is increasing to record levels. Antarctica is getting colder; its sea ice and ice cap are not melting,"Judith Curry and Don Easterbrook, CFACT",28-Apr-23,inaccurate,inaccurate
Chemtrails contain toxic substances such as barium salts that are 10 thousand times more toxic to your nervous system than lead,"William Deagle, Facebook",06-Apr-23,inaccurate,unsupported
"Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon","Social media user, Instagram",23-Jan-23,flawed reasoning,incorrect
Scientists have found no consistent correlation between CO2 and temperature; scientists do not know whether earth will warm or cool in future,"Tom Harris, Fox News",18-Oct-22,inaccurate,incorrect
"The question is, ‘how much of an impact do we have on climate?’ That has not totally been quantified”; climate change is happening anyway, “The ice age happened without us. . . It’s probably this constant cycle”.","Joe Rogan, Joe Rogan Experience",11-Oct-22,flawed reasoning,inaccurate
CO2 is not the cause of our current warming trend; Arctic sea ice has expanded in recent years; Polar bears’ population is growing and is not threatened by climate change; CO2 is good for plant life,"Patrick Moore, The Epoch Times",20-Sep-22,incorrect,incorrect
Believing CO2 controls the climate is pretty close to believing in magic.,"Richard Lindzen, Climate Change is Crap",02-Sep-22,incorrect,incorrect
"Natural variation explains a substantial part of global warming observed since 1850; no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.","Toby Young, Daily Sceptic",24-Aug-22,incorrect,incorrect
Climate projections using models based on the water vapor feedback have consistently failed.,"Jeff Jacoby, Boston Globe",16-Mar-17,unsupported,unsupported
More than 100 percent of the warming over the past century is due to human actions.,"Michael Le Page, New Scientist",11-Mar-17,mostly correct,mostly accurate
I would not agree that carbon dioxide is a primary contributor to the global warming that we see.,"EPA Administrator Scott Pruitt, CNBC",10-Mar-17,incorrect,incorrect
"90 percent of the world’s coral reefs will disappear in the next 35 years due to coral bleaching induced by global warming, pollution, and overdevelopment.","Greg Hassall & Rebecca Latham, ABC News",27-Feb-17,mostly correct,mostly accurate
World leaders were duped into investing billions over manipulated global warming data.,"David Rose, Daily Mail",06-Feb-17,unsupported,unsupported
No one really knows if last year (2016) was a (global temperature) record.,"Wall Street Journal editorial, The Wall Street Journal",27-Jan-17,unsupported,incorrect
The warming is not nearly as great as the climate change computer models have predicted.,"Wall Street Journal editorial, The Wall Street Journal",27-Jan-17,misleading,misleading
Marine life has nothing whatsoever to fear from ocean acidification.,"Mike Wallace & James Delingpole, The Spectator",10-Jan-17,unsupported,incorrect
There has been no reduction in oceanic pH levels in the last century.,"Mike Wallace & James Delingpole, The Spectator",10-Jan-17,inaccurate,incorrect
"The jet stream meanders more, with big loops bringing warm air to the frozen north and cold air into warmer southern climes.","Damian Carrington, The Guardian",21-Dec-16,correct but,mostly accurate
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,"David Rose, The Daily Mail",02-Dec-16,misleading,inaccurate
Increased atmospheric carbon dioxide has helped raise global food production and reduce poverty.,"Harrison Schmitt & Rodney Nichols, The Wall Street Journal",02-Nov-16,unsupported,lacks context
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.","Roy Spencer, Forbes",01-Nov-16,inaccurate,incorrect
Sea level rise could reach six or seven feet by the year 2100.,"Justin Gillis, The New York Times",06-Sep-16,correct,inaccurate
"The bushfires in Australia were caused by arsonists and a series of lightning strikes, not ‘climate change’.","Sean Adl-Tabatabai, Thomas D. Williams, NewsPunch, Breitbart",13-Jan-20,misleading,misleading
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,"James Edward Kamis, Principia Scientific",08-Jan-20,inaccurate,incorrect
Father of Global Warming’ Scientist Finally Admits Theory Is Wrong,"Baxter Dmitry, NewsPunch, Your News Wire, Principia Scientific",03-Jan-20,inaccurate,incorrect
Harvard study finds that wind turbines create MORE global warming than the fossil fuels they eliminate,"Ethan Huff, Ecology.news",23-Dec-19,inaccurate,incorrect
"Photo A little science lesson for the #idiots at the global warming conference. Ice berg melts, ocean level remains the same.","Anonymous, Facebook",17-Dec-19,incorrect,lacks context
