Claim,True Label,Mapped True Label,Predicted Verdict,Evidence
"90 percent of the world’s coral reefs will disappear in the next 35 years due to coral bleaching induced by global warming, pollution, and overdevelopment.",mostly correct,correct,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
Sea level rise could reach six or seven feet by the year 2100.,correct,correct,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
More than 100 percent of the warming over the past century is due to human actions.,mostly correct,correct,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"The jet stream meanders more, with big loops bringing warm air to the frozen north and cold air into warmer southern climes.",correct but,correct,CORRECT,"['CORRECT', 'CORRECT', 'CORRECT']"
A series of just-released studies by working-level scientists prove that geological and not atmospheric forces are responsible for melting of Earth’s polar ice sheets.,inaccurate,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
No one really knows if last year (2016) was a (global temperature) record.,unsupported,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Photo A little science lesson for the #idiots at the global warming conference. Ice berg melts, ocean level remains the same.",incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
Discovery Of Massive Volcanic CO2 Emissions Discredits Global Warming Theory,inaccurate,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
Marine life has nothing whatsoever to fear from ocean acidification.,unsupported,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
500 Scientists Write U.N.: ‘There Is No Climate Emergency’.... More than 500 scientists and professionals in climate and related fields have sent a ‘European Climate Declaration’ to the Secretary-General of the United Nations.,misleading,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Sea level rise, which was occurring long before humans could be blamed, has not accelerated.",inaccurate,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
World leaders were duped into investing billions over manipulated global warming data.,unsupported,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
Believing CO2 controls the climate is pretty close to believing in magic.,incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
There has been no reduction in oceanic pH levels in the last century.,inaccurate,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Natural variation explains a substantial part of global warming observed since 1850; no statistical evidence that global warming is intensifying natural disasters, or making them more frequent.",incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Peer-reviewed studies, geologic records, and all the studies have shown that we have actually cooled since the Roman Warming Period, and likely since the Medieval Warming Period.",incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Magnetic poles reversals involve the Earth flipping vertically and momentarily stopping its rotation, causing cataclysmic events during 6 days.",incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
"Climate changed naturally in prehistoric eras, modern climate change is a naturally occurring phenomenon",flawed reasoning,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
El Niño drove record highs in global temperatures suggesting rise may not be down to man-made emissions.,misleading,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
Scientists studying Antarctica sea ice warn a rise in accumulation could spark the next ice age.,incorrect,incorrect,INCORRECT,"['INCORRECT', 'INCORRECT', 'INCORRECT']"
